campaign_id,environment,primitive,seed,train_steps,horizon,baseline_psnr,candidate_psnr,delta_psnr,baseline_ssim,candidate_ssim,delta_ssim,baseline_masked_mse,candidate_masked_mse,delta_masked_mse
acwm-autoloop-screen-reacher-motion_region_reweight-s2827-t512-r1,reacher,motion_region_reweight,2827,512,16,30.656355112987136,32.38635650604509,1.7300013930579539,0.9833876006305218,0.9850365184247494,0.0016489177942276,0.015626318752765656,0.010905427858233452,-0.004720890894532204
acwm-autoloop-screen-reacher-motion_region_reweight-s2827-t512-r1,reacher,motion_region_reweight,2827,512,32,29.792608290827395,31.54800263659963,1.7553943457722347,0.9804675821214914,0.983719838783145,0.0032522566616535187,0.019138233736157417,0.013861642219126225,-0.005276591517031193
acwm-autoloop-screen-reacher-motion_region_reweight-s2850-t512-r1,reacher,motion_region_reweight,2850,512,16,30.656355112987136,33.09698332619486,2.4406282132077237,0.9833876006305218,0.9879978075623512,0.0046102069318294525,0.015626318752765656,0.008241883479058743,-0.007384435273706913
acwm-autoloop-screen-reacher-motion_region_reweight-s2850-t512-r1,reacher,motion_region_reweight,2850,512,32,29.792608290827395,32.11713354481209,2.324525253984696,0.9804675821214914,0.9867644496262074,0.0062968675047159195,0.019138233736157417,0.01089134719222784,-0.008246886543929577
acwm-autoloop-screen-reacher-motion_region_reweight-s2852-t512-r1,reacher,motion_region_reweight,2852,512,16,30.656355112987136,32.59746404354489,1.9411089305577534,0.9833876006305218,0.9871593788266182,0.0037717781960964203,0.015626318752765656,0.01018521748483181,-0.0054411012679338455
acwm-autoloop-screen-reacher-motion_region_reweight-s2852-t512-r1,reacher,motion_region_reweight,2852,512,32,29.792608290827395,31.995397712229746,2.2027894214023505,0.9804675821214914,0.9871635809540749,0.006695998832583427,0.019138233736157417,0.011752115562558174,-0.007386118173599243
acwm-autoloop-screen-reacher-next_forcing-s2818-t512-r1,reacher,next_forcing,2818,512,16,30.656355112987136,32.761573310241694,2.1052181972545583,0.9833876006305218,0.987722784280777,0.004335183650255203,0.015626318752765656,0.00939511600881815,-0.006231202743947506
acwm-autoloop-screen-reacher-next_forcing-s2818-t512-r1,reacher,next_forcing,2818,512,32,29.792608290827395,32.317700647888984,2.525092357061588,0.9804675821214914,0.9874321930110455,0.006964610889554024,0.019138233736157417,0.01080232486128807,-0.008335908874869347
acwm-autoloop-screen-reacher-next_forcing-s2819-t512-r1,reacher,next_forcing,2819,512,16,30.656355112987136,33.08523742356951,2.428882310582374,0.9833876006305218,0.9878411181271076,0.004453517496585846,0.015626318752765656,0.008507083170115948,-0.007119235582649708
acwm-autoloop-screen-reacher-next_forcing-s2819-t512-r1,reacher,next_forcing,2819,512,32,29.792608290827395,32.2585402744182,2.4659319835908065,0.9804675821214914,0.9873322658240795,0.006864683702588081,0.019138233736157417,0.01081919390708208,-0.008319039829075336
